#separator:Tab
#notetype:@En
#deck:英语词汇
#columns:En	Phone	Cn
I	/aɪ/	我
am	/æm/	是 (be动词的第一人称单数现在时)
good	/ɡʊd/	好的，优秀的
She	/ʃiː/	她
is	/ɪz/	是 (be动词的第三人称单数现在时)
bad	/bæd/	坏的，恶劣的
He	/hiː/	他
big	/bɪɡ/	大的
It	/ɪt/	它
small	/smɔːl/	小的
We	/wiː/	我们
are	/ɑː/	是 (be动词的复数现在时，或第二人称单数/复数现在时)
happy	/ˈhæpi/	快乐的，高兴的
You	/juː/	你，你们
kind	/kaɪnd/	善良的，亲切的
They	/ðeɪ/	他们，她们，它们
sad	/sæd/	伤心的，悲伤的
tired	/ˈtaɪəd/	疲倦的，累的
young	/jʌŋ/	年轻的
old	/əʊld/	年老的；旧的
hot	/hɒt/	热的
cold	/kəʊld/	冷的
busy	/ˈbɪzi/	忙碌的
free	/friː/	自由的；免费的
hungry	/ˈhʌŋɡri/	饥饿的
thirsty	/ˈθɜːsti/	口渴的
strong	/strɒŋ/	强壮的
easy	/ˈiːzi/	容易的
ready	/ˈredi/	准备好的
early	/ˈɜːli/	早的
late	/leɪt/	晚的
sorry	/ˈsɒri/	对不起的；遗憾的
pretty	/ˈprɛti/	漂亮的 (多用于形容女性或事物)
handsome	/ˈhænsəm/	英俊的 (多用于形容男性)
clean	/kliːn/	干净的
dirty	/ˈdɜːti/	脏的
smart	/smɑːt/	聪明的；时髦的
fast	/fɑːst/	快的
slow	/sləʊ/	慢的
quiet	/ˈkwaɪət/	安静的
loud	/laʊd/	响亮的
dark	/dɑːk/	黑暗的
bright	/braɪt/	明亮的
rich	/rɪtʃ/	富有的
poor	/pʊə/	贫穷的
right	/raɪt/	正确的
wrong	/rɒŋ/	错误的
difficult	/ˈdɪfɪkəlt/	困难的
weak	/wiːk/	虚弱的，软弱的
