#separator:Tab
#notetype:@En
#deck:英语句子
#columns:En	Cn	Title
I am good	我很好	Be 动词 (To Be Verb) - 肯定句
I am happy	我很高兴	Be 动词 (To Be Verb) - 肯定句
I am sad	我很难过	Be 动词 (To Be Verb) - 肯定句
I am old	我老了	Be 动词 (To Be Verb) - 肯定句
I am young	我还年轻	Be 动词 (To Be Verb) - 肯定句
You are good	你很好	Be 动词 (To Be Verb) - 肯定句
You are happy	你很高兴	Be 动词 (To Be Verb) - 肯定句
You are sad	你们很难过	Be 动词 (To Be Verb) - 肯定句
You are old	你老了	Be 动词 (To Be Verb) - 肯定句
You are young	你们还年轻	Be 动词 (To Be Verb) - 肯定句
He is good	他很好	Be 动词 (To Be Verb) - 肯定句
He is happy	他很高兴	Be 动词 (To Be Verb) - 肯定句
He is sad	他很难过	Be 动词 (To Be Verb) - 肯定句
He is old	他老了	Be 动词 (To Be Verb) - 肯定句
He is young	他还年轻	Be 动词 (To Be Verb) - 肯定句
She is good	她很好	Be 动词 (To Be Verb) - 肯定句
She is happy	她很高兴	Be 动词 (To Be Verb) - 肯定句
She is sad	她很难过	Be 动词 (To Be Verb) - 肯定句
She is old	她老了	Be 动词 (To Be Verb) - 肯定句
She is young	她还年轻	Be 动词 (To Be Verb) - 肯定句
It is good	它很好	Be 动词 (To Be Verb) - 肯定句
It is happy	它很高兴	Be 动词 (To Be Verb) - 肯定句
It is sad	它很难过	Be 动词 (To Be Verb) - 肯定句
It is old	它老了	Be 动词 (To Be Verb) - 肯定句
It is young	它还年轻	Be 动词 (To Be Verb) - 肯定句
We are good	我们很好	Be 动词 (To Be Verb) - 肯定句
We are happy	我们很高兴	Be 动词 (To Be Verb) - 肯定句
We are sad	我们很难过	Be 动词 (To Be Verb) - 肯定句
We are old	我们老了	Be 动词 (To Be Verb) - 肯定句
We are young	我们还年轻	Be 动词 (To Be Verb) - 肯定句
They are good	他们很好	Be 动词 (To Be Verb) - 肯定句
They are happy	他们很高兴	Be 动词 (To Be Verb) - 肯定句
They are sad	他们很难过	Be 动词 (To Be Verb) - 肯定句
They are old	他们老了	Be 动词 (To Be Verb) - 肯定句
They are young	他们还年轻	Be 动词 (To Be Verb) - 肯定句
