#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
One child, many children.	一个孩子，许多孩子们。	名词的常见不规则复数
My foot, my two feet.	我的脚，我的两只脚。	名词的常见不规则复数
One tooth, thirty teeth.	一颗牙齿，三十颗牙齿。	名词的常见不规则复数
A mouse, some mice.	一只老鼠，一些老鼠们。	名词的常见不规则复数
One man, many men.	一个男人，许多男人们。	名词的常见不规则复数
That woman, these women.	那个女人，这些女人们。	名词的常见不规则复数
A person, those people.	一个人，那些人们。	名词的常见不规则复数
An ox, two oxen.	一头牛，两头牛。	名词的常见不规则复数
The goose, some geese.	这只鹅，一些鹅们。	名词的常见不规则复数
A louse, few lice.	一只虱子，很少的虱子们。	名词的常见不规则复数
A fish, many fish. 一条鱼，许多鱼。	名词的常见不规则复数
A sheep, some sheep. 一只羊，一些羊。	名词的常见不规则复数
The deer, running deer. 这只鹿，奔跑的鹿们。	名词的常见不规则复数
My aircraft, many aircraft. 我的飞机，许多飞机。	名词的常见不规则复数
One series, long series. 一系列，很长的系列。	名词的常见不规则复数
