#separator:Tab
#notetype:@phonetics
#deck:音标
#columns:Word	Phone	Title	Url
see	/siː/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
me	/miː/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
he	/hiː/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
she	/ʃiː/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
we	/wiː/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
be	/biː/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
eat	/iːt/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
meet	/miːt/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
read	/riːd/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
key	/kiː/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
happy	/ˈhæpi/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
very	/ˈveri/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
easy	/ˈiːzi/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
city	/ˈsɪti/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
family	/ˈfæməli/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
money	/ˈmʌni/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
story	/ˈstɔːri/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
baby	/ˈbeɪbi/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
party	/ˈpɑːrti/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
body	/ˈbɒdi/	iː 和 i	https://www.bilibili.com/video/BV1iV411z7Nj?spm_id_from=333.788.videopod.episodes&p=7
